Country,TotalCases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
San Marino,356,,35,,53,268,14,10492,1032,846,24933
Mauritius,324,5,9,,42,273,3,255,7,7077,5565
Nigeria,318,,10,,70,238,2,2,0.05,5000,24
Bolivia,300,25,24,4,2,274,3,26,2,2185,187
Palestine,288,20,2,,58,228,,56,0.4,17329,3397
Senegal,280,2,2,,171,107,1,17,0.1,,
Montenegro,267,4,3,1,5,259,7,425,5,2869,4568
Vietnam,260,2,,,144,116,8,3,,121821,1252
Georgia,257,15,3,,67,187,6,64,0.8,3271,820
Guinea,250,,,,17,233,,19,,,
DRC,234,11,20,,16,198,,3,0.2,,
Isle of Man,228,2,2,,112,114,11,2681,24,1934,22744
Djibouti,214,27,2,,36,176,,217,2,4451,4505
Sri Lanka,210,12,7,,56,147,1,10,0.3,4525,211
Kenya,197,6,8,1,25,164,2,4,0.1,7449,139
Mayotte,196,,3,,59,134,3,718,11,1350,4948
Faeroe Islands,184,,,,157,27,,3766,,5509,112744
Venezuela,175,,9,,93,73,6,6,0.3,181335,6377
Martinique,155,,6,,50,99,19,413,16,,
Guatemala,153,16,3,,19,131,3,9,0.2,1134,63
Guadeloupe,143,,8,,67,68,13,357,20,,
Brunei,136,,1,,106,29,2,311,2,9884,22593
Paraguay,134,1,6,,22,106,1,19,0.8,2262,317
Gibraltar,129,,,,84,45,1,3829,,1558,46244
El Salvador,125,7,6,,21,98,3,19,0.9,,
Cambodia,122,2,,,77,45,1,7,,5768,345
Rwanda,120,,,,18,102,,9,,806,62
Trinidad and Tobago,113,1,8,,12,93,,81,6,1102,787
Madagascar,106,4,,,20,86,1,4,,,
Mali,105,18,9,2,22,74,,5,0.4,,
Monaco,92,,1,,5,86,4,2344,25,,
Aruba,92,,,,29,63,,862,,1118,10471
French Guiana,86,,,,51,35,1,288,,,
Liechtenstein,79,,1,,55,23,,2072,26,900,23605
Togo,76,,3,,29,44,,9,0.4,2532,306
Ethiopia,71,2,3,,10,58,,0.6,0.03,3863,34
Jamaica,69,,4,,13,52,,23,1,907,306
Barbados,68,,4,,11,53,4,237,14,747,2599
Congo,60,,5,,5,50,,11,0.9,,
Cayman Islands,53,,1,,6,46,3,806,15,536,8156
Uganda,53,,,,4,49,,1,,4856,106
French Polynesia,51,,,,,51,,182,,744,2649
Sint Maarten,50,,9,,5,36,2,1166,210,134,3125
Liberia,50,2,5,,3,42,,10,1,,
Bermuda,50,2,4,,28,18,2,803,64,416,6680
Gabon,49,3,1,,1,47,,22,0.4,,
Bahamas,46,,8,,5,33,1,117,20,,
Guyana,45,,6,,8,31,3,57,8,193,245
Macao,45,,,,10,35,1,69,,,
Zambia,43,3,2,,30,11,1,2,0.1,1239,67
Myanmar,39,1,4,1,2,33,,0.7,0.07,1406,26
Guinea-Bissau,38,,,,,38,,19,,1500,762
Benin,35,,1,,5,29,,3,0.08,,
Eritrea,34,,,,,34,,10,,,
Haiti,33,,3,1,,30,,3,0.3,365,32
Tanzania,32,,3,,5,24,,0.5,0.05,,
Saint Martin,32,,2,,11,19,5,828,52,,
Syria,25,,2,,5,18,,1,0.1,,
Libya,25,,1,,8,16,,4,0.1,507,74
Antigua and Barbuda,21,,2,,,19,1,214,20,40,408
Somalia,21,,1,,2,18,2,1,0.06,,
Equatorial Guinea,21,3,,,3,18,,15,,854,609
Mozambique,21,1,,,2,19,,0.7,,679,22
Maldives,20,1,,,13,7,,37,,,
Angola,19,,2,,4,13,,0.6,0.06,,
Sudan,19,,2,,2,15,,0.4,0.05,,
Laos,19,1,,,,19,,3,,1140,157
Chad,18,7,,,2,16,,1,,,
New Caledonia,18,,,,1,17,,63,,2608,9135
Dominica,16,,,,7,9,,222,,324,4501
Fiji,16,,,,,16,,18,,,
Mongolia,16,,,,4,12,,5,,,
Namibia,16,,,,3,13,,6,,362,142
Saint Lucia,15,,,,4,11,,82,,,
Zimbabwe,14,,3,,,11,,0.9,0.2,547,37
Belize,14,1,2,,,12,1,35,5,364,915
Curaçao,14,,1,,7,6,,85,6,,
Grenada,14,,,,,14,2,124,,92,818
Eswatini,14,2,,,7,7,,12,,,
Malawi,13,1,2,,,11,1,0.7,0.1,287,15
Botswana,13,,1,,,12,,6,0.4,3115,1325
Nepal,12,3,,,1,11,,0.4,,4426,152
Saint Kitts and Nevis,12,,,,,12,,226,,205,3853
St. Vincent Grenadines,12,,,,1,11,,108,,56,505
Greenland,11,,,,11,0,,194,,770,13564
Seychelles,11,,,,,11,,112,,,
Suriname,10,,1,,4,5,,17,2,,
Sierra Leone,10,,,,,10,,1,,,
MS Zaandam,9,,2,,,7,,,,,
Gambia,9,,1,,2,6,,4,0.4,281,116
Nicaragua,9,,1,,4,4,,1,0.2,,
Turks and Caicos,9,,1,,,8,,232,26,62,1601
Montserrat,9,,,,,9,1,1803,,36,7212
Cabo Verde,8,,1,,1,6,,14,2,,
CAR,8,,,,,8,,2,,,
Vatican City,8,,,,2,6,,9988,,,
Mauritania,7,,1,,2,4,,2,0.2,380,82
St. Barth,6,,,,4,2,,607,,,
Western Sahara,6,,,,,6,,10,,,
Bhutan,5,,,,2,3,,6,,1166,1511
Burundi,5,,,,,5,,0.4,,,
Falkland Islands,5,,,,1,4,,1437,,137,39368
Sao Tome and Principe,4,,,,,4,,18,,19,87
South Sudan,4,,,,,4,,0.4,,,
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,2,1,,99,,,
Caribbean Netherlands,3,1,,,,3,,114,,10,381
Papua New Guinea,2,,,,,2,,0.2,,72,8
Timor-Leste,2,,,,1,1,,2,,,
Saint Pierre Miquelon,1,,,,,1,,173,,,
Yemen,1,,,,,1,,0.03,,,
Total:,1836041,56298,113233,4454,420955,1301853,50654,235.5,14.5,,
